"subject","event","date","memory","negative","positive","surprise","covid","datePlot"
105,"trumpInterview","September",0,0,0,0,0,"SEP"
106,"BLM","June",100,60,15,50,0,"JUN"
106,"NFL","April",0,0,0,0,0,"APR"
106,"RBG","September",51,9,21,7,0,"SEP"
106,"baldwin","December",0,0,0,0,0,"DEC"
106,"barronTrump","June",0,0,0,0,0,"JUN"
106,"borisJCovid","April",20,10,0,5,0,"APR"
106,"caucusNV","February",0,0,0,0,0,"FEB"
106,"covid","March",100,80,0,25,1,"MAR"
106,"falwell","August",0,0,0,0,0,"AUG"
106,"firstStim","March",80,0,56,34,0,"MAR"
106,"georgeFloyd","May",100,35,0,70,0,"MAY"
106,"jadaSmith","July",15,0,0,0,0,"JUL"
106,"kobe","January",70,15,0,70,0,"JAN"
106,"nayaRivera","July",0,0,0,0,0,"JUL"
106,"olsenDivorce","May",0,0,0,0,0,"MAY"
106,"presBiden","November",100,80,0,75,0,"NOV"
106,"presDebates","October",72,7,21,0,0,"OCT"
106,"primaryNH","February",0,0,0,0,0,"FEB"
106,"secondStim","December",100,0,80,63,0,"DEC"
106,"soleimani","January",0,0,0,0,0,"JAN"
106,"thomBrenn","August",0,0,0,0,0,"AUG"
106,"toobinZoom","October",0,0,0,0,0,"OCT"
106,"trumpFraud","November",91,60,59,0,0,"NOV"
106,"trumpInterview","September",0,0,0,0,0,"SEP"
107,"BLM","June",72,21,21,66,0,"JUN"
107,"NFL","April",9,1,1,1,0,"APR"
107,"RBG","September",60,23,2,50,0,"SEP"
107,"baldwin","December",0,0,0,0,0,"DEC"
107,"barronTrump","June",68,1,71,2,0,"JUN"
107,"borisJCovid","April",10,1,1,3,0,"APR"
107,"caucusNV","February",8,1,2,2,0,"FEB"
107,"covid","March",91,9,77,92,1,"MAR"
107,"falwell","August",8,1,9,2,0,"AUG"
107,"firstStim","March",74,1,79,73,0,"MAR"
107,"georgeFloyd","May",88,20,35,66,0,"MAY"
107,"jadaSmith","July",0,0,0,0,0,"JUL"
107,"kobe","January",69,2,1,64,0,"JAN"
107,"nayaRivera","July",58,2,2,3,0,"JUL"
107,"olsenDivorce","May",0,0,0,0,0,"MAY"
107,"presBiden","November",65,1,71,29,0,"NOV"
107,"presDebates","October",53,1,63,18,0,"OCT"
107,"primaryNH","February",4,1,1,1,0,"FEB"
107,"secondStim","December",81,1,92,70,0,"DEC"
107,"soleimani","January",7,1,18,2,0,"JAN"
107,"thomBrenn","August",0,0,0,0,0,"AUG"
107,"toobinZoom","October",0,0,0,0,0,"OCT"
107,"trumpFraud","November",92,79,1,1,0,"NOV"
107,"trumpInterview","September",18,89,18,2,0,"SEP"
108,"BLM","June",50,0,0,0,0,"JUN"
108,"NFL","April",0,0,0,0,0,"APR"
108,"RBG","September",100,80,0,90,0,"SEP"
108,"baldwin","December",0,0,0,0,0,"DEC"
108,"barronTrump","June",0,0,0,0,0,"JUN"
108,"borisJCovid","April",30,0,0,0,0,"APR"
108,"caucusNV","February",0,0,0,0,0,"FEB"
108,"covid","March",100,91,0,30,1,"MAR"
108,"falwell","August",40,0,0,0,0,"AUG"
108,"firstStim","March",100,0,90,20,0,"MAR"
108,"georgeFloyd","May",100,95,0,40,0,"MAY"
108,"jadaSmith","July",0,0,0,0,0,"JUL"
108,"kobe","January",100,50,0,100,0,"JAN"
108,"nayaRivera","July",70,50,0,95,0,"JUL"
108,"olsenDivorce","May",0,0,0,0,0,"MAY"
108,"presBiden","November",100,0,100,85,0,"NOV"
108,"presDebates","October",50,0,42,0,0,"OCT"
108,"primaryNH","February",0,0,0,0,0,"FEB"
108,"secondStim","December",100,0,90,0,0,"DEC"
108,"soleimani","January",0,0,0,0,0,"JAN"
108,"thomBrenn","August",0,0,0,0,0,"AUG"
108,"toobinZoom","October",30,0,0,20,0,"OCT"
108,"trumpFraud","November",100,91,0,0,0,"NOV"
108,"trumpInterview","September",30,90,0,0,0,"SEP"
109,"BLM","June",91,64,29,72,0,"JUN"
109,"NFL","April",0,0,0,0,0,"APR"
109,"RBG","September",95,70,25,70,0,"SEP"
109,"baldwin","December",0,0,0,0,0,"DEC"
109,"barronTrump","June",0,0,0,0,0,"JUN"
109,"borisJCovid","April",85,50,52,12,0,"APR"
109,"caucusNV","February",0,0,0,0,0,"FEB"
109,"covid","March",100,39,21,70,1,"MAR"
109,"falwell","August",55,27,80,50,0,"AUG"
109,"firstStim","March",95,0,100,50,0,"MAR"
109,"georgeFloyd","May",100,100,0,70,0,"MAY"
109,"jadaSmith","July",0,0,0,0,0,"JUL"
109,"kobe","January",85,0,0,50,0,"JAN"
109,"nayaRivera","July",0,0,0,0,0,"JUL"
109,"olsenDivorce","May",0,0,0,0,0,"MAY"
109,"presBiden","November",100,0,100,0,0,"NOV"
109,"presDebates","October",100,48,27,51,0,"OCT"
109,"primaryNH","February",0,0,0,0,0,"FEB"
109,"secondStim","December",100,0,90,50,0,"DEC"
109,"soleimani","January",60,30,50,50,0,"JAN"
109,"thomBrenn","August",0,0,0,0,0,"AUG"
109,"toobinZoom","October",65,0,0,49,0,"OCT"
109,"trumpFraud","November",100,100,0,24,0,"NOV"
109,"trumpInterview","September",95,100,0,50,0,"SEP"
110,"BLM","June",0,0,0,0,0,"JUN"
110,"NFL","April",0,0,0,0,0,"APR"
110,"RBG","September",31,40,15,59,0,"SEP"
110,"baldwin","December",0,0,0,0,0,"DEC"
110,"barronTrump","June",10,70,20,30,0,"JUN"
110,"borisJCovid","April",0,0,0,0,0,"APR"
110,"caucusNV","February",0,0,0,0,0,"FEB"
110,"covid","March",40,72,13,69,1,"MAR"
110,"falwell","August",0,0,0,0,0,"AUG"
110,"firstStim","March",10,1,82,75,0,"MAR"
110,"georgeFloyd","May",14,33,5,39,0,"MAY"
110,"jadaSmith","July",0,0,0,0,0,"JUL"
110,"kobe","January",100,30,2,87,0,"JAN"
110,"nayaRivera","July",30,12,4,75,0,"JUL"
110,"olsenDivorce","May",0,0,0,0,0,"MAY"
110,"presBiden","November",8,33,60,39,0,"NOV"
110,"presDebates","October",40,57,48,10,0,"OCT"
110,"primaryNH","February",0,0,0,0,0,"FEB"
110,"secondStim","December",30,0,61,56,0,"DEC"
110,"soleimani","January",0,0,0,0,0,"JAN"
110,"thomBrenn","August",0,0,0,0,0,"AUG"
110,"toobinZoom","October",0,0,0,0,0,"OCT"
110,"trumpFraud","November",42,56,6,21,0,"NOV"
110,"trumpInterview","September",0,0,0,0,0,"SEP"
111,"BLM","June",85,94,1,54,0,"JUN"
111,"NFL","April",45,0,0,16,0,"APR"
111,"RBG","September",65,77,4,18,0,"SEP"
111,"baldwin","December",0,0,0,0,0,"DEC"
111,"barronTrump","June",0,0,0,0,0,"JUN"
111,"borisJCovid","April",46,61,28,11,0,"APR"
111,"caucusNV","February",0,0,0,0,0,"FEB"
111,"covid","March",94,98,4,45,1,"MAR"
111,"falwell","August",0,0,0,0,0,"AUG"
111,"firstStim","March",93,87,9,18,0,"MAR"
111,"georgeFloyd","May",94,53,16,59,0,"MAY"
111,"jadaSmith","July",0,0,0,0,0,"JUL"
111,"kobe","January",76,66,34,95,0,"JAN"
111,"nayaRivera","July",0,0,0,0,0,"JUL"
111,"olsenDivorce","May",0,0,0,0,0,"MAY"
111,"presBiden","November",89,71,21,50,0,"NOV"
111,"presDebates","October",87,13,65,14,0,"OCT"
111,"primaryNH","February",0,0,0,0,0,"FEB"
111,"secondStim","December",81,86,19,19,0,"DEC"
111,"soleimani","January",87,1,70,33,0,"JAN"
111,"thomBrenn","August",0,0,0,0,0,"AUG"
111,"toobinZoom","October",0,0,0,0,0,"OCT"
111,"trumpFraud","November",85,52,52,66,0,"NOV"
111,"trumpInterview","September",0,0,0,0,0,"SEP"
112,"BLM","June",57,6,64,9,0,"JUN"
112,"NFL","April",0,0,0,0,0,"APR"
112,"RBG","September",47,52,0,27,0,"SEP"
112,"baldwin","December",0,0,0,0,0,"DEC"
112,"barronTrump","June",0,0,0,0,0,"JUN"
112,"borisJCovid","April",0,0,0,0,0,"APR"
112,"caucusNV","February",0,0,0,0,0,"FEB"
112,"covid","March",80,82,0,64,1,"MAR"
112,"falwell","August",0,0,0,0,0,"AUG"
112,"firstStim","March",24,3,95,79,0,"MAR"
112,"georgeFloyd","May",83,91,0,15,0,"MAY"
112,"jadaSmith","July",13,0,0,26,0,"JUL"
112,"kobe","January",55,71,5,100,0,"JAN"
112,"nayaRivera","July",54,73,0,93,0,"JUL"
112,"olsenDivorce","May",0,0,0,0,0,"MAY"
112,"presBiden","November",49,0,49,19,0,"NOV"
112,"presDebates","October",35,0,0,0,0,"OCT"
112,"primaryNH","February",0,0,0,0,0,"FEB"
112,"secondStim","December",61,0,90,28,0,"DEC"
112,"soleimani","January",71,0,0,91,0,"JAN"
112,"thomBrenn","August",0,0,0,0,0,"AUG"
112,"toobinZoom","October",0,0,0,0,0,"OCT"
112,"trumpFraud","November",69,52,0,4,0,"NOV"
112,"trumpInterview","September",0,0,0,0,0,"SEP"
113,"BLM","June",86,60,37,12,0,"JUN"
113,"NFL","April",3,0,0,0,0,"APR"
113,"RBG","September",35,38,13,19,0,"SEP"
113,"baldwin","December",0,0,0,0,0,"DEC"
113,"barronTrump","June",42,24,7,45,0,"JUN"
113,"borisJCovid","April",20,4,13,1,0,"APR"
113,"caucusNV","February",7,0,7,16,0,"FEB"
113,"covid","March",70,90,0,59,1,"MAR"
113,"falwell","August",0,0,0,0,0,"AUG"
113,"firstStim","March",5,5,43,3,0,"MAR"
113,"georgeFloyd","May",84,95,0,23,0,"MAY"
