"subject","event1","event2","actualDist","value","bothMem","respProp","actProp","propDiff","propAbsDiff","pairOrder","avgMem","avgSurp","avgPos","avgNeg","distFactor","lockdownFactor"
111,"georgeFloyd","trumpFraud",166,38,1,0.38,0.454794520547945,-0.0747945205479452,0.0747945205479452,1,89.5,62.5,34,52.5,1,"al"
111,"kobe","covid",44,51,1,0.51,0.120547945205479,0.389452054794521,0.389452054794521,0,85,70,19,82,0,"bl"
111,"kobe","firstStim",60,26,1,0.26,0.164383561643836,0.0956164383561644,0.0956164383561644,1,84.5,56.5,21.5,76.5,0,"bl"
111,"kobe","RBG",235,64,1,0.64,0.643835616438356,-0.00383561643835617,0.00383561643835617,0,70.5,56.5,19,71.5,1,"l"
111,"RBG","presBiden",51,63,1,0.63,0.13972602739726,0.49027397260274,0.49027397260274,1,77,34,12.5,74,0,"al"
111,"soleimani","BLM",148,60,1,0.6,0.405479452054795,0.194520547945205,0.194520547945205,1,86,43.5,35.5,47.5,1,"l"
111,"soleimani","covid",67,67,1,0.67,0.183561643835616,0.486438356164384,0.486438356164384,0,90.5,39,37,49.5,0,"bl"
112,"covid","BLM",82,33,1,0.33,0.224657534246575,0.105342465753425,0.105342465753425,1,68.5,36.5,32,44,0,"l"
112,"covid","presBiden",241,6,1,0.06,0.66027397260274,-0.60027397260274,0.60027397260274,0,64.5,41.5,24.5,41,1,"l"
112,"firstStim","georgeFloyd",59,28,1,0.28,0.161643835616438,0.118356164383562,0.118356164383562,1,53.5,47,47.5,47,0,"l"
112,"georgeFloyd","RBG",116,28,1,0.28,0.317808219178082,-0.0378082191780822,0.0378082191780822,0,65,21,0,71.5,1,"al"
112,"georgeFloyd","trumpFraud",166,63,1,0.63,0.454794520547945,0.175205479452055,0.175205479452055,0,76,9.5,0,71.5,1,"al"
112,"kobe","covid",44,62,1,0.62,0.120547945205479,0.499452054794521,0.499452054794521,0,67.5,82,2.5,76.5,0,"bl"
112,"kobe","firstStim",60,21,1,0.21,0.164383561643836,0.0456164383561644,0.0456164383561644,0,39.5,89.5,50,37,0,"bl"
112,"kobe","RBG",235,26,1,0.26,0.643835616438356,-0.383835616438356,0.383835616438356,0,51,63.5,2.5,61.5,1,"l"
112,"RBG","presBiden",51,36,1,0.36,0.13972602739726,0.22027397260274,0.22027397260274,0,48,23,24.5,26,0,"al"
112,"soleimani","BLM",148,75,1,0.75,0.405479452054795,0.344520547945205,0.344520547945205,1,64,50,32,3,1,"l"
112,"soleimani","covid",67,5,1,0.05,0.183561643835616,-0.133561643835616,0.133561643835616,1,75.5,77.5,0,41,0,"bl"
113,"covid","BLM",82,16,1,0.16,0.224657534246575,-0.0646575342465753,0.0646575342465753,1,78,35.5,18.5,75,0,"l"
113,"covid","presBiden",241,69,1,0.69,0.66027397260274,0.0297260273972603,0.0297260273972603,1,67.5,58.5,36,50.5,1,"l"
113,"firstStim","georgeFloyd",59,15,1,0.15,0.161643835616438,-0.0116438356164384,0.0116438356164384,0,44.5,13,21.5,50,0,"l"
113,"georgeFloyd","RBG",116,35,1,0.35,0.317808219178082,0.0321917808219178,0.0321917808219178,1,59.5,21,6.5,66.5,1,"al"
113,"georgeFloyd","trumpFraud",166,44,1,0.44,0.454794520547945,-0.0147945205479452,0.0147945205479452,1,74,14,0,91,1,"al"
113,"kobe","covid",44,61,1,0.61,0.120547945205479,0.489452054794521,0.489452054794521,0,67,66,0,84,0,"bl"
113,"kobe","firstStim",60,15,1,0.15,0.164383561643836,-0.0143835616438356,0.0143835616438356,0,34.5,38,21.5,41.5,0,"bl"
113,"kobe","RBG",235,33,1,0.33,0.643835616438356,-0.313835616438356,0.313835616438356,1,49.5,46,6.5,58,1,"l"
113,"RBG","presBiden",51,37,1,0.37,0.13972602739726,0.23027397260274,0.23027397260274,1,50,38.5,42.5,24.5,0,"al"
113,"soleimani","BLM",148,23,1,0.23,0.405479452054795,-0.175479452054795,0.175479452054795,0,50,15,18.5,49,1,"l"
113,"soleimani","covid",67,42,1,0.42,0.183561643835616,0.236438356164384,0.236438356164384,0,42,38.5,0,64,0,"bl"
114,"covid","BLM",82,100,1,1,0.224657534246575,0.775342465753425,0.775342465753425,1,81.5,50,50,50,0,"l"
114,"covid","presBiden",241,100,1,1,0.66027397260274,0.33972602739726,0.33972602739726,1,100,50,50,50,1,"l"
114,"firstStim","georgeFloyd",59,0,0,0,0.161643835616438,-0.161643835616438,0.161643835616438,NA,50,41,0,50,0,"l"
114,"georgeFloyd","RBG",116,0,0,0,0.317808219178082,-0.317808219178082,0.317808219178082,NA,50,41,0,50,1,"al"
114,"georgeFloyd","trumpFraud",166,0,1,0,0.454794520547945,-0.454794520547945,0.454794520547945,1,100,91,0,87,1,"al"
114,"kobe","covid",44,0,1,0,0.120547945205479,-0.120547945205479,0.120547945205479,1,100,100,0,100,0,"bl"
114,"kobe","firstStim",60,0,0,0,0.164383561643836,-0.164383561643836,0.164383561643836,NA,50,50,0,50,0,"bl"
114,"kobe","RBG",235,100,0,1,0.643835616438356,0.356164383561644,0.356164383561644,NA,50,50,0,50,1,"l"
114,"RBG","presBiden",51,0,0,0,0.13972602739726,-0.13972602739726,0.13972602739726,NA,50,0,50,0,0,"al"
114,"soleimani","BLM",148,100,0,1,0.405479452054795,0.594520547945205,0.594520547945205,NA,31.5,0,50,0,1,"l"
114,"soleimani","covid",67,100,0,1,0.183561643835616,0.816438356164384,0.816438356164384,NA,50,50,0,50,0,"bl"
115,"covid","BLM",82,33,1,0.33,0.224657534246575,0.105342465753425,0.105342465753425,1,70,35.5,0,47,0,"l"
115,"covid","presBiden",241,60,1,0.6,0.66027397260274,-0.0602739726027397,0.0602739726027397,1,92.5,35.5,20,47,1,"l"
115,"firstStim","georgeFloyd",59,41,1,0.41,0.161643835616438,0.248356164383562,0.248356164383562,1,80.5,25,29,50.5,0,"l"
115,"georgeFloyd","RBG",116,71,1,0.71,0.317808219178082,0.392191780821918,0.392191780821918,1,97.5,42.5,0,60,1,"al"
115,"georgeFloyd","trumpFraud",166,45,1,0.45,0.454794520547945,-0.00479452054794521,0.00479452054794521,1,67,23.5,0,62.5,1,"al"
115,"kobe","covid",44,68,1,0.68,0.120547945205479,0.559452054794521,0.559452054794521,1,95,84,0,97,0,"bl"
115,"kobe","firstStim",60,63,1,0.63,0.164383561643836,0.465616438356164,0.465616438356164,1,83,52.5,29,50.5,0,"bl"
115,"kobe","RBG",235,59,1,0.59,0.643835616438356,-0.0538356164383562,0.0538356164383562,1,100,70,0,60,1,"l"
115,"RBG","presBiden",51,35,1,0.35,0.13972602739726,0.21027397260274,0.21027397260274,1,97.5,21.5,20,10,0,"al"
115,"soleimani","BLM",148,50,0,0.5,0.405479452054795,0.0945205479452055,0.0945205479452055,NA,25,1.5,0,0,1,"l"
115,"soleimani","covid",67,50,0,0.5,0.183561643835616,0.316438356164384,0.316438356164384,NA,45,34,0,47,0,"bl"
116,"covid","BLM",82,40,1,0.4,0.224657534246575,0.175342465753425,0.175342465753425,1,100,70,0,100,0,"l"
116,"covid","presBiden",241,80,1,0.8,0.66027397260274,0.13972602739726,0.13972602739726,1,100,80,0,100,1,"l"
116,"firstStim","georgeFloyd",59,75,1,0.75,0.161643835616438,0.588356164383562,0.588356164383562,0,90,15,40,50,0,"l"
116,"georgeFloyd","RBG",116,40,1,0.4,0.317808219178082,0.0821917808219178,0.0821917808219178,1,100,15,0,50,1,"al"
